"nacionality","sex","sport","edad","medallas"
"BRA","male","canoe",24,"NO"
"RSA","female","football",24,"NO"
"RSA","male","football",22,"NO"
"SRB","male","athletics",31,"NO"
"ARM","male","weightlifting",21,"NO"
"HUN","male","cycling",34,"NO"
"HUN","male","fencing",33,"SI"
"POR","male","football",26,"NO"
"GER","male","judo",26,"NO"
"POR","male","cycling",32,"NO"
"GER","male","shooting",22,"NO"
"ANG","male","rowing",27,"NO"
"BRA","male","hockey",26,"NO"
"BRA","male","aquatics",23,"NO"
"BRA","male","tennis",39,"NO"
"BRA","male","rugby sevens",28,"NO"
"BRA","male","handball",32,"NO"
"CAN","male","athletics",22,"SI"
"SRB","female","shooting",29,"NO"
"ITA","male","fencing",31,"NO"
"IRL","female","sailing",34,"NO"
"COL","female","wrestling",22,"NO"
"ITA","male","fencing",32,"NO"
"PER","female","aquatics",23,"NO"
"ITA","male","aquatics",21,"NO"
"ITA","male","aquatics",21,"NO"
"NED","female","athletics",31,"NO"
"ITA","male","aquatics",22,"SI"
"USA","female","athletics",25,"NO"
"NZL","female","triathlon",34,"NO"
"CZE","female","tennis",30,"NO"
"CRO","female","athletics",32,"NO"
"NZL","female","taekwondo",34,"NO"
"MNE","female","handball",25,"NO"
"NED","female","aquatics",23,"NO"
"AUT","female","athletics",37,"NO"
